stage,start_time,end_time,elapsed_sec,input_artifact,output_artifact,input_size_bytes,output_size_bytes,operation_summary,evidence_source
S00-Raw-Ingest,,,,"data/raw/BGL.log + data/raw/HDFS_1/HDFS.log + data/raw/HDFS_2/*.log","data/processed/events_unified.csv",30629320294,2791728947,"Merge raw BGL (709 MB) and HDFS_1/HDFS_2 (~28 GB) log files into unified 5-col CSV (timestamp, dataset, session_id, message, label); 15923592 total rows","ai_workspace/reports/system/stage_27_stages_0_4_completion_report.md; data/raw/ directory listing"
S01-Data-Load,2026-03-03 15:16:09,,51.6,"data/processed/events_unified.csv","data/processed/events_unified.csv (normalized schema)",2791728947,2791728947,"Load 15923592-row unified CSV into pandas; normalize column schema to (timestamp, dataset, session_id, message, label); validate label distribution; peak RSS 6652.2 MB","ai_workspace/logs/stage_01_data_full.log (elapsed=51.6s; peak_mem=6652.2 MB)"
S02-Sampling,,,,data/processed/events_unified.csv,data/processed/events_sample_1m.csv,2791728947,175161344,"Stratified random sample of 1000000 rows from 15923592 for demo-mode pipeline runs (6.3% of full dataset)","data/processed/ directory listing (167 MB); MEMORY.md"
S03-Template-Mining,2026-03-03 09:59:34,2026-03-03 09:59:43,9.2,data/processed/events_sample_1m.csv,"data/intermediate/events_with_templates.csv + data/intermediate/templates.csv + artifacts/templates.json + artifacts/vocab.json",175161344,281017344,"9-step regex substitution pipeline (BLK/TS/IP/DATE/NODE/PATH/HEX/NUM/whitespace) applied to message column; 7833 unique templates mined (7792 BGL + 41 HDFS); template IDs = alphabetical sort rank; peak RSS 470 MB","ai_workspace/logs/stage_22_template_mining.log (Total elapsed: 9.2s; Peak memory: 470.0 MB; Unique templates: 7833)"
S04-Tokenization,2026-03-03 15:16:09,2026-03-03 15:17:00,51.0,"data/processed/events_unified.csv + artifacts/vocab.json",data/processed/events_tokenized.parquet,2791728947,17825792,"Map 15.9M log messages to integer token_id via vocab lookup; write parquet with columns (timestamp, service, session_id, template_id, token_id, label); 1M row demo slice for runtime inference","ai_workspace/logs/stage_01_data_full.log timestamp; data/processed/ directory listing (17 MB parquet)"
S05-Sequence-Build-V1,2026-03-03 12:28:00,,,"data/intermediate/events_with_templates.csv","data/intermediate/session_sequences.csv + data/intermediate/session_features.csv",280166400,336232448,"Group 1M events by session_id; build per-session token frequency features (204 cols: 7 meta + 100 tid_raw + 100 tid_norm); 495405 sessions","ai_workspace/logs/stage_23_sequence.log; data/intermediate/ listing (22 MB seq + 300 MB features)"
S06-Sequence-Build-V2,2026-03-03 12:50:09,2026-03-03 12:51:18,69.6,data/intermediate/events_with_templates.csv,"data/intermediate/session_sequences_v2.csv + data/intermediate/session_features_v2.csv",280166400,638042112,"Add bigram features: 16808 unique bigrams globally; top-100 selected; 407 total features (7 meta + 100 tid_raw + 100 tid_norm + 100 bgram_raw + 100 bgram_norm); 495405 sessions x 407 cols; peak RSS 1138.2 MB","ai_workspace/logs/stage_23_sequence_v2.log (Total elapsed: 69.6s; Peak memory: 1138.2 MB; Sessions: 495405)"
S07-Baseline-Model-V1,2026-03-03 12:35:00,,24.1,data/intermediate/session_features.csv,"data/models/isolation_forest.pkl + data/intermediate/session_scores.csv",314572800,22020096,"Train IsolationForest (n_estimators=200, contamination=0.05) on 495405 sessions x 204 features; contamination grid-searched; PR-AUC=0.2518; peak RSS 1406.9 MB","ai_workspace/reports/system/stage_24_model_report.md (Elapsed: 24.1s; Peak memory: 1406.9 MB)"
S08-Baseline-Model-V2,2026-03-03 12:55:06,2026-03-03 12:55:33,26.9,data/intermediate/session_features_v2.csv,"data/models/isolation_forest_v2.pkl + data/intermediate/session_scores_v2.csv",617136128,23068672,"Train IsolationForest (n_estimators=300, random_state=42) on 495405 sessions x 404 features; F1-optimal threshold scan (300 candidates p1-p99); overall F1=0.3846 P=0.2537 R=0.7948; BGL F1=0.9648; HDFS F1=0.0466; IsoForest fit in 0.8s; peak RSS 2528.5 MB","ai_workspace/logs/stage_24_baseline_model_v2.log (Total elapsed: 26.9s; Training done in 0.8s; Peak memory: 2528.5 MB)"
S09-Evaluation-V1,2026-03-03 12:57:00,,2.0,data/intermediate/session_scores.csv,"ai_workspace/reports/stage_25_evaluation_report.md + ai_workspace/plots/roc_curve.png + pr_curve.png + score_histogram.png + confusion_matrix.png",22020096,0,"Compute ROC/PR/F1/P/R on session_scores.csv; overall ROC=0.5398 PR=0.2518; BGL ROC=0.6792 PR=0.9698; HDFS ROC=0.5153 PR=0.0273; generate 4 plots","ai_workspace/reports/system/stage_25_evaluation_report.md (Elapsed: 2.0s)"
